epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1282.36,1.71361,7.78093,1.77619,0.40388,0.30445,0.29258,0.19971,1.64211,6.43137,1.82179,0.000199953,0.000199953,0.0802047
2,2635.06,1.59486,7.09383,1.67972,0.40044,0.34108,0.32052,0.23456,1.43954,6.08988,1.61945,0.000397313,0.000397313,0.060402
3,4038.26,1.54879,6.83803,1.64225,0.46926,0.37358,0.38019,0.29239,1.30608,5.33551,1.44484,0.000592034,0.000592034,0.0405967
4,5397.67,1.49603,6.57613,1.6005,0.46832,0.39526,0.39674,0.30998,1.24552,5.1106,1.38888,0.000784114,0.000784114,0.0207888
5,6752.45,1.45438,6.36413,1.56763,0.49586,0.40309,0.41176,0.32483,1.20149,4.94738,1.34692,0.000973554,0.000973554,0.00097826
6,8101.93,1.42229,6.18478,1.54259,0.49025,0.4131,0.41848,0.33041,1.19425,4.87731,1.32316,0.000967,0.000967,0.000967
7,9421.9,1.39708,6.05561,1.52197,0.49878,0.4159,0.42475,0.34029,1.15557,4.79258,1.2836,0.0009604,0.0009604,0.0009604
8,10750.3,1.36501,5.904,1.4984,0.51271,0.42331,0.4344,0.34782,1.13319,4.70159,1.26548,0.0009538,0.0009538,0.0009538
9,12001.6,1.35408,5.80916,1.48645,0.51252,0.42699,0.43818,0.35141,1.12467,4.65941,1.25682,0.0009472,0.0009472,0.0009472
10,12877.5,1.33949,5.70793,1.47563,0.51676,0.43156,0.44124,0.35249,1.12338,4.64471,1.2546,0.0009406,0.0009406,0.0009406
11,13736.2,1.31999,5.61214,1.46076,0.51951,0.43173,0.44282,0.35527,1.11896,4.61678,1.2509,0.000934,0.000934,0.000934
12,14642.2,1.31133,5.54891,1.45474,0.5245,0.43448,0.44497,0.3572,1.11446,4.58897,1.24779,0.0009274,0.0009274,0.0009274
13,15492.1,1.29848,5.46691,1.44051,0.52645,0.43609,0.44687,0.35972,1.1102,4.57972,1.24367,0.0009208,0.0009208,0.0009208
14,16327.1,1.29041,5.41598,1.43736,0.52691,0.43678,0.44823,0.36166,1.10783,4.56725,1.2412,0.0009142,0.0009142,0.0009142
15,17655.7,1.28789,5.35245,1.43231,0.52622,0.43909,0.44884,0.36268,1.1023,4.55348,1.23706,0.0009076,0.0009076,0.0009076
16,19080.5,1.27243,5.28307,1.41965,0.52582,0.43875,0.45013,0.36435,1.09709,4.54334,1.23276,0.000901,0.000901,0.000901
17,20515.9,1.26667,5.24435,1.41674,0.51895,0.4427,0.45111,0.36551,1.09189,4.5344,1.22885,0.0008944,0.0008944,0.0008944
18,21945.6,1.2584,5.17387,1.40889,0.5243,0.44217,0.45223,0.36664,1.08757,4.52966,1.22656,0.0008878,0.0008878,0.0008878
19,23311.9,1.25274,5.14198,1.40435,0.52358,0.44264,0.45293,0.36787,1.08383,4.52164,1.22288,0.0008812,0.0008812,0.0008812
20,24234.1,1.24808,5.08244,1.39888,0.52432,0.44253,0.45421,0.36883,1.08171,4.51505,1.2205,0.0008746,0.0008746,0.0008746
21,25163.4,1.24231,5.06074,1.39395,0.52684,0.44327,0.45579,0.37023,1.07924,4.5069,1.21925,0.000868,0.000868,0.000868
22,26050.3,1.24208,5.01337,1.39249,0.53141,0.44186,0.45711,0.37125,1.07608,4.4934,1.21552,0.0008614,0.0008614,0.0008614
23,26944,1.23431,4.96882,1.38613,0.53394,0.44173,0.45748,0.37202,1.07407,4.48483,1.21253,0.0008548,0.0008548,0.0008548
24,27851.1,1.22681,4.92628,1.38014,0.53174,0.44403,0.45788,0.37243,1.07258,4.47686,1.20966,0.0008482,0.0008482,0.0008482
25,28758.8,1.22303,4.89305,1.37714,0.53876,0.43996,0.45867,0.3731,1.07152,4.46574,1.20793,0.0008416,0.0008416,0.0008416
26,29577.4,1.21932,4.85529,1.37344,0.53926,0.44189,0.46,0.37396,1.06738,4.45387,1.20456,0.000835,0.000835,0.000835
27,854.953,1.24639,5.05845,1.39941,0.54031,0.44624,0.46134,0.37439,1.06639,4.43355,1.20256,0.0008284,0.0008284,0.0008284
28,1692.31,1.23854,5.01967,1.39306,0.53568,0.45125,0.46182,0.3745,1.06407,4.40951,1.19882,0.0008218,0.0008218,0.0008218
29,2566.22,1.2349,4.97715,1.38889,0.53689,0.45102,0.46263,0.3748,1.06279,4.3907,1.19589,0.0008152,0.0008152,0.0008152
30,3427.49,1.22759,4.92372,1.38234,0.53618,0.44919,0.46266,0.37501,1.06266,4.38083,1.19542,0.0008086,0.0008086,0.0008086
31,4281.09,1.22406,4.87878,1.37754,0.53368,0.45107,0.46316,0.37534,1.06218,4.37175,1.19428,0.000802,0.000802,0.000802
32,5176.13,1.21932,4.83746,1.37466,0.5355,0.44903,0.46356,0.37554,1.0615,4.36267,1.19253,0.0007954,0.0007954,0.0007954
33,6064.72,1.21618,4.84589,1.37307,0.53418,0.45268,0.46465,0.37602,1.06153,4.35411,1.19149,0.0007888,0.0007888,0.0007888
34,6922.73,1.20886,4.78138,1.36743,0.53436,0.45484,0.46475,0.37597,1.061,4.34465,1.18981,0.0007822,0.0007822,0.0007822
35,7773.17,1.20758,4.74943,1.36352,0.53935,0.45295,0.46556,0.37637,1.06112,4.33845,1.18709,0.0007756,0.0007756,0.0007756
36,8624.9,1.20775,4.72273,1.36248,0.5412,0.45013,0.46655,0.37682,1.06183,4.33576,1.18685,0.000769,0.000769,0.000769
37,9475.1,1.19708,4.67414,1.3546,0.53367,0.45506,0.46644,0.37688,1.06153,4.33076,1.1857,0.0007624,0.0007624,0.0007624
38,10330.5,1.197,4.65937,1.35561,0.53024,0.45275,0.46665,0.37705,1.06108,4.32914,1.18594,0.0007558,0.0007558,0.0007558
39,11215.8,1.18968,4.6167,1.34776,0.53046,0.45302,0.46756,0.37757,1.06016,4.32628,1.18444,0.0007492,0.0007492,0.0007492
40,12081.7,1.19032,4.60908,1.34982,0.52992,0.45418,0.46727,0.37699,1.06017,4.32313,1.18474,0.0007426,0.0007426,0.0007426
41,12940.6,1.19064,4.5739,1.34855,0.52688,0.45595,0.46772,0.37724,1.06006,4.32081,1.18396,0.000736,0.000736,0.000736
42,13791,1.18208,4.54329,1.34212,0.52972,0.4535,0.46781,0.3773,1.05997,4.316,1.18358,0.0007294,0.0007294,0.0007294
43,14651.5,1.18047,4.52452,1.34282,0.52792,0.45562,0.46761,0.37745,1.05917,4.3137,1.18264,0.0007228,0.0007228,0.0007228
44,15530.4,1.17515,4.48496,1.33581,0.5323,0.45577,0.46744,0.37727,1.05747,4.30838,1.18152,0.0007162,0.0007162,0.0007162
45,16523.5,1.17419,4.48206,1.33609,0.53002,0.45643,0.46826,0.37753,1.0567,4.30465,1.18153,0.0007096,0.0007096,0.0007096
46,17481.4,1.17424,4.45774,1.33237,0.53368,0.45399,0.46794,0.37757,1.05646,4.30518,1.18131,0.000703,0.000703,0.000703
47,18472.6,1.17073,4.44359,1.33097,0.53388,0.45582,0.46831,0.37815,1.05678,4.30215,1.18106,0.0006964,0.0006964,0.0006964
48,19454,1.17332,4.42623,1.33088,0.53298,0.45632,0.46866,0.37773,1.05558,4.2964,1.17946,0.0006898,0.0006898,0.0006898
49,20448.4,1.16613,4.39349,1.32625,0.53409,0.45825,0.4687,0.37775,1.0562,4.29781,1.18016,0.0006832,0.0006832,0.0006832
50,21497,1.16427,4.37769,1.32411,0.52922,0.46045,0.46899,0.37804,1.05716,4.30231,1.18103,0.0006766,0.0006766,0.0006766
51,22514.5,1.16132,4.36536,1.32282,0.53204,0.45877,0.46919,0.37832,1.05757,4.30096,1.18009,0.00067,0.00067,0.00067
52,23433.9,1.16049,4.33464,1.32173,0.52922,0.45935,0.46879,0.37837,1.05643,4.29246,1.17887,0.0006634,0.0006634,0.0006634
53,24296.3,1.15902,4.33619,1.3209,0.52824,0.46181,0.46959,0.37862,1.0562,4.28639,1.17965,0.0006568,0.0006568,0.0006568
54,25151.6,1.15826,4.32088,1.31842,0.53156,0.46051,0.46993,0.37867,1.05717,4.28178,1.18038,0.0006502,0.0006502,0.0006502
55,26016.8,1.15949,4.28892,1.31721,0.52989,0.46033,0.46968,0.37881,1.05738,4.27847,1.17902,0.0006436,0.0006436,0.0006436
56,26891.5,1.15375,4.26866,1.31339,0.52846,0.46261,0.46993,0.37916,1.05594,4.27534,1.17808,0.000637,0.000637,0.000637
57,27760.7,1.15008,4.26274,1.30975,0.52561,0.46454,0.47036,0.37913,1.0566,4.2755,1.17733,0.0006304,0.0006304,0.0006304
58,28635,1.14941,4.23189,1.30834,0.52434,0.46622,0.47018,0.37899,1.05644,4.27376,1.17721,0.0006238,0.0006238,0.0006238
59,29515.9,1.15126,4.23005,1.31151,0.51947,0.47028,0.47021,0.37915,1.05707,4.27337,1.17753,0.0006172,0.0006172,0.0006172
60,30376.1,1.14622,4.20213,1.30805,0.5199,0.46949,0.47002,0.37886,1.05665,4.27253,1.17738,0.0006106,0.0006106,0.0006106
61,31233.4,1.14559,4.19286,1.30566,0.52051,0.47181,0.4696,0.37841,1.05814,4.27426,1.17804,0.000604,0.000604,0.000604
62,32047.5,1.14457,4.18046,1.30627,0.52109,0.47036,0.46925,0.37802,1.05728,4.27636,1.17736,0.0005974,0.0005974,0.0005974
63,32895.1,1.13903,4.14873,1.30235,0.52213,0.46854,0.46933,0.37809,1.0563,4.27496,1.17657,0.0005908,0.0005908,0.0005908
64,33792.1,1.13717,4.14755,1.29995,0.52467,0.46866,0.46894,0.37778,1.05679,4.27449,1.17617,0.0005842,0.0005842,0.0005842
65,34710.2,1.13524,4.12068,1.29832,0.52419,0.46709,0.46884,0.37772,1.0554,4.27661,1.17248,0.0005776,0.0005776,0.0005776
66,35604,1.13716,4.11876,1.29779,0.52424,0.4657,0.46892,0.37784,1.05527,4.27982,1.17195,0.000571,0.000571,0.000571
67,36504.6,1.13347,4.096,1.29536,0.52671,0.46427,0.46838,0.37776,1.05517,4.28169,1.17158,0.0005644,0.0005644,0.0005644
68,37411.3,1.13023,4.07591,1.2947,0.52509,0.46106,0.4676,0.37715,1.05616,4.28758,1.17408,0.0005578,0.0005578,0.0005578
69,38310.1,1.12621,4.04704,1.29221,0.51895,0.46661,0.46667,0.3768,1.05513,4.28917,1.17262,0.0005512,0.0005512,0.0005512
70,2942.05,1.13551,4.13911,1.30048,0.52199,0.46515,0.46653,0.37653,1.05627,4.28988,1.17462,0.0005446,0.0005446,0.0005446
71,5853.1,1.13414,4.14,1.29967,0.52433,0.46226,0.46662,0.37616,1.05731,4.28916,1.1743,0.000538,0.000538,0.000538
72,8760.72,1.1318,4.12607,1.29775,0.5243,0.46079,0.46609,0.37601,1.05825,4.29441,1.17358,0.0005314,0.0005314,0.0005314
73,11192.4,1.13055,4.11417,1.29881,0.52528,0.46075,0.46581,0.37599,1.05959,4.2963,1.17457,0.0005248,0.0005248,0.0005248
74,13389.5,1.13396,4.1045,1.29414,0.52195,0.46502,0.46573,0.376,1.06083,4.29752,1.17498,0.0005182,0.0005182,0.0005182
75,15865.4,1.12918,4.08104,1.29221,0.52139,0.46515,0.46559,0.37599,1.06092,4.2986,1.175,0.0005116,0.0005116,0.0005116
76,18667.3,1.1284,4.08148,1.29348,0.51747,0.46324,0.46542,0.37599,1.06059,4.29379,1.17523,0.000505,0.000505,0.000505
77,21839.7,1.12655,4.06641,1.28981,0.51953,0.46477,0.46531,0.37548,1.06113,4.29587,1.17518,0.0004984,0.0004984,0.0004984
78,25252.1,1.12418,4.05932,1.28788,0.51429,0.46667,0.46582,0.37542,1.06091,4.29624,1.17528,0.0004918,0.0004918,0.0004918
79,28272.3,1.12088,4.02592,1.28658,0.51669,0.46096,0.46537,0.37513,1.06078,4.30063,1.17487,0.0004852,0.0004852,0.0004852
80,860.372,1.11612,4.02181,1.28622,0.51915,0.46113,0.46514,0.37563,1.06098,4.30424,1.17507,0.0004786,0.0004786,0.0004786
81,1721.27,1.12361,4.04138,1.28945,0.51984,0.46131,0.46501,0.37555,1.06208,4.30917,1.17639,0.000472,0.000472,0.000472
82,2564.35,1.11968,4.03167,1.28667,0.52277,0.46097,0.46461,0.37512,1.06312,4.31161,1.17753,0.0004654,0.0004654,0.0004654
83,3376.03,1.11827,4.00403,1.28507,0.52199,0.46,0.46442,0.37524,1.06301,4.31153,1.17783,0.0004588,0.0004588,0.0004588
84,4189.79,1.12046,4.01026,1.28551,0.52943,0.4536,0.46435,0.37521,1.06326,4.31217,1.1783,0.0004522,0.0004522,0.0004522
85,5003.42,1.11812,3.99262,1.2859,0.52829,0.45456,0.46383,0.37515,1.06369,4.31715,1.17886,0.0004456,0.0004456,0.0004456
86,5815.66,1.12134,3.98204,1.28473,0.52844,0.45705,0.46404,0.37517,1.06441,4.31811,1.17974,0.000439,0.000439,0.000439
87,6630.22,1.11885,3.98153,1.28108,0.52886,0.45882,0.46343,0.3744,1.06446,4.32203,1.17958,0.0004324,0.0004324,0.0004324
88,907.477,1.08898,3.82289,1.2677,0.52649,0.46077,0.4627,0.37392,1.06533,4.33064,1.181,0.0004258,0.0004258,0.0004258
89,1724.32,1.10197,3.87745,1.27514,0.52433,0.45891,0.46228,0.37327,1.06581,4.34158,1.18253,0.0004192,0.0004192,0.0004192
90,806.449,1.08112,3.7759,1.26279,0.52731,0.45649,0.4618,0.37296,1.06772,4.35254,1.18468,0.0004126,0.0004126,0.0004126
91,1614.12,1.09766,3.85109,1.27272,0.527,0.4546,0.46109,0.37223,1.06942,4.36201,1.18713,0.000406,0.000406,0.000406
92,857.888,1.07364,3.71814,1.25833,0.52686,0.45302,0.4596,0.37132,1.07053,4.37147,1.1886,0.0003994,0.0003994,0.0003994
93,1738.14,1.09473,3.82781,1.27029,0.52588,0.45323,0.45908,0.37029,1.07265,4.37884,1.1907,0.0003928,0.0003928,0.0003928
94,2664.55,1.09922,3.86404,1.27237,0.52781,0.4499,0.45862,0.37046,1.07447,4.38565,1.19268,0.0003862,0.0003862,0.0003862
95,3597.53,1.09911,3.86186,1.27172,0.52405,0.45125,0.45858,0.37035,1.0757,4.38814,1.1939,0.0003796,0.0003796,0.0003796
96,4411.57,1.10318,3.87942,1.27304,0.52664,0.45102,0.45904,0.37046,1.07617,4.38955,1.19298,0.000373,0.000373,0.000373
97,5225.04,1.10355,3.87666,1.27482,0.52472,0.45037,0.45865,0.3703,1.0757,4.39246,1.19228,0.0003664,0.0003664,0.0003664
98,6066.92,1.10939,3.8861,1.27556,0.52445,0.45111,0.45858,0.36977,1.07578,4.39497,1.19279,0.0003598,0.0003598,0.0003598
99,6938.59,1.10847,3.90555,1.27474,0.52046,0.45528,0.45899,0.36913,1.07574,4.39493,1.19238,0.0003532,0.0003532,0.0003532
100,7801.07,1.10466,3.89424,1.27315,0.51643,0.45711,0.4589,0.36883,1.07626,4.3983,1.19219,0.0003466,0.0003466,0.0003466
