epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,374.6,1.60131,2.30126,1.61242,0.4432,0.44185,0.40913,0.21689,1.66498,1.82584,1.69132,0.00999352,0.00333117,0.00999352,0.00333117,0.00999352,0.00333117,0.00999352,0.00333117
2,716.041,1.54859,1.86389,1.54559,0.47543,0.42174,0.38694,0.21678,1.64013,1.90158,1.69925,0.0198616,0.00662052,0.0198616,0.00662052,0.0198616,0.00662052,0.0198616,0.00662052
3,1038.66,1.62689,1.96947,1.60952,0.29549,0.30694,0.26527,0.13782,1.79461,2.15027,1.82105,0.0295976,0.00986587,0.0295976,0.00986587,0.0295976,0.00986587,0.0295976,0.00986587
4,1353.02,1.63328,1.98675,1.63007,0.41645,0.35681,0.34061,0.1791,1.83238,2.15048,1.86556,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1667.78,1.56965,1.88222,1.57903,0.67233,0.41753,0.45838,0.2888,1.54881,1.76336,1.58604,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1986.74,1.52822,1.79705,1.54998,0.47255,0.53673,0.49315,0.31138,1.53221,1.61148,1.54144,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2303.28,1.49089,1.73916,1.52598,0.51472,0.50497,0.47541,0.31954,1.4492,1.57154,1.49222,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2625.39,1.46371,1.69126,1.49853,0.53729,0.57385,0.52797,0.36718,1.40622,1.50104,1.42989,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2943.03,1.44276,1.65804,1.48487,0.70087,0.49149,0.52561,0.36546,1.39795,1.49945,1.43133,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3268.61,1.42653,1.62815,1.47598,0.5216,0.56167,0.53163,0.37406,1.37442,1.45594,1.40204,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
