epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6981,1.94388,3.02627,1.82963,1,0.81661,0.90816,0.7179,2.11609,2.70348,1.86209,0.000414673,0.000414673,0.000414673
2,43.9873,1.9296,2.61651,1.84112,1,0.79877,0.89925,0.70839,2.18668,2.5524,1.99825,0.000823109,0.000823109,0.000823109
3,64.2338,1.94308,2.54012,1.87713,1,0.83369,0.91555,0.71714,2.19931,2.52247,2.01625,0.0012233,0.0012233,0.0012233
4,83.9404,1.93269,2.45313,1.87543,1,0.8449,0.92232,0.73301,2.10674,2.52995,1.89525,0.00121287,0.00121287,0.00121287
5,103.46,1.89471,2.39181,1.82861,1,0.83046,0.91509,0.72647,2.06851,2.36264,1.86801,0.0012005,0.0012005,0.0012005
6,122.714,1.87503,2.33618,1.80565,1,0.84063,0.92017,0.71939,2.19323,2.20083,1.93269,0.00118812,0.00118812,0.00118812
7,142.044,1.85944,2.30681,1.79724,1,0.86202,0.93087,0.73886,2.0797,2.25303,1.84897,0.00117575,0.00117575,0.00117575
8,161.386,1.81564,2.23119,1.76763,1,0.87683,0.93712,0.7479,2.00257,2.19362,1.7852,0.00116337,0.00116337,0.00116337
9,180.689,1.80802,2.21938,1.76453,1,0.86049,0.92897,0.7453,1.97867,2.21471,1.80921,0.001151,0.001151,0.001151
10,200.082,1.79552,2.20261,1.76389,1,0.89062,0.94403,0.76207,1.95582,2.02511,1.75129,0.00113863,0.00113863,0.00113863
11,219.577,1.77263,2.15525,1.73238,1,0.86251,0.93111,0.75829,1.94982,2.14103,1.7258,0.00112625,0.00112625,0.00112625
12,239.04,1.76409,2.13913,1.72489,1,0.88023,0.93881,0.76611,1.85747,2.09182,1.68467,0.00111388,0.00111388,0.00111388
13,258.739,1.7547,2.1412,1.72196,1,0.88054,0.93896,0.76984,1.85973,2.00905,1.70202,0.0011015,0.0011015,0.0011015
14,278.327,1.74707,2.12486,1.71884,1,0.85459,0.92717,0.75778,1.88601,1.98766,1.68123,0.00108913,0.00108913,0.00108913
15,297.582,1.7291,2.09488,1.70075,1,0.87873,0.93806,0.76609,1.85718,1.9838,1.71542,0.00107675,0.00107675,0.00107675
16,317.036,1.74468,2.0935,1.71305,1,0.87796,0.93767,0.7661,1.86449,1.9706,1.69104,0.00106437,0.00106437,0.00106437
17,336.801,1.72698,2.06433,1.70386,1,0.90536,0.9514,0.77943,1.82045,1.93404,1.64125,0.001052,0.001052,0.001052
18,356.357,1.71609,2.04437,1.69415,1,0.88318,0.94147,0.77446,1.86689,2.02316,1.67479,0.00103962,0.00103962,0.00103962
